rho,p-val,MAE,MSE,RMSE,R2,AdjR2,DT,kNN,SVR,AIC,BIC
0.8389205082682462,4.658767883520909e-69,0.15263605928261642,0.03449253012025352,0.1857216468811687,0.5599343712484792,-0.4378611627229834,0.1745664468864469,0.14553953113553114,0.14683110897355334,481.3266167115773,14.375265155264465
0.8832355066155158,1.6364484865581476e-85,0.12561079162038813,0.025474979074673672,0.15960883144323085,0.674982883399865,-0.32235970367336386,0.17306059829059828,0.13136603418803416,0.12273478119590314,479.01812364390884,12.066772087596021
0.687245270812187,4.005308527047438e-37,0.21424318279571275,0.07165628060204743,0.2676869077897674,0.08578854415149428,-0.9138737056746808,0.2505435897435897,0.21899958974358974,0.20945228046489617,490.8405368349165,23.889185278603705
0.7542268055104732,2.6127027287613614e-48,0.1857258964771433,0.05735964111497227,0.23949872883790485,0.26818918634791267,-0.7307549507137098,0.23392,0.19114358974358972,0.1839544017159579,487.1805971262253,20.229245569912464
0.556326550196462,3.3412482687961565e-22,0.41482591804619606,0.2447165661999153,0.49468835260183286,-2.1221643989358747,-3.130519376884441,0.18304630387343152,0.17040057283142387,0.18650457043292698,535.1439699479707,68.19261839165787
0.5883323556909458,3.113979700343195e-25,0.3935257828824231,0.21851367663998417,0.4674544647770349,-1.7878603908188557,-2.7948992112551503,0.18490108486471513,0.1694858341367316,0.18359168803240494,528.4360302206284,61.48467866431551
0.8083759758143247,2.174704814412203e-60,0.17071663944856136,0.04618402916082803,0.2149046978565802,0.41077086081880676,-0.5876119310677334,0.16957238761238763,0.140728348984349,0.13842860627051587,484.31964046596437,17.36828890965154
0.808875046126004,1.6162908388737385e-60,0.19527478529553322,0.05875331158638744,0.2423908240556714,0.2504083372731265,-0.74860580313131,0.15156068154068153,0.13040476058129905,0.14037377502231918,487.5373767669076,20.586025210594748
0.4814943547422223,2.9083492874600007e-16,0.20950495739995795,0.09211175297868071,0.30349918118288344,-0.17518826101325047,-1.1758779785762947,0.27932507200778445,0.20917329315332167,0.20145855783847755,496.07713776333463,29.125786207021825
0.20080613530247218,0.0012372987808372219,0.31140380574242676,0.15584978160152996,0.3947781422540133,-0.988376378658081,-1.992267624243349,0.29911614839843464,0.24121526117096745,0.20663682442439696,512.3940730907841,45.44272153447123
