group1,group2,meandiff,p-adj,lower,upper,reject
21,29,0.2711,0.0,0.1344,0.4078,True
21,3,0.2631,0.0,0.1264,0.3999,True
21,30,0.2934,-0.0,0.1566,0.4301,True
21,31,0.1812,0.0002,0.0445,0.3179,True
21,32,0.2287,0.0,0.092,0.3655,True
21,33,0.1991,0.0,0.0623,0.3358,True
21,34,0.2388,0.0,0.1021,0.3756,True
21,5,0.1831,0.0002,0.0463,0.3198,True
21,6,0.1395,0.0379,0.0028,0.2763,True
21,7,0.2906,-0.0,0.1539,0.4273,True
21,8,0.2352,0.0,0.0984,0.3719,True
22,29,0.1527,0.0089,0.016,0.2895,True
22,3,0.1447,0.022,0.008,0.2815,True
22,30,0.175,0.0005,0.0383,0.3117,True
22,7,0.1722,0.0007,0.0355,0.309,True
22,9,-0.1484,0.0146,-0.2852,-0.0117,True
23,29,0.202,0.0,0.0652,0.3387,True
23,3,0.194,0.0,0.0572,0.3307,True
23,30,0.2242,0.0,0.0875,0.361,True
23,32,0.1596,0.0039,0.0228,0.2963,True
23,34,0.1697,0.0011,0.0329,0.3064,True
23,7,0.2215,0.0,0.0847,0.3582,True
23,8,0.166,0.0017,0.0293,0.3028,True
24,29,0.2894,-0.0,0.1527,0.4262,True
24,3,0.2814,-0.0,0.1447,0.4182,True
24,30,0.3117,-0.0,0.175,0.4484,True
24,31,0.1995,0.0,0.0628,0.3363,True
24,32,0.2471,0.0,0.1103,0.3838,True
24,33,0.2174,0.0,0.0806,0.3541,True
24,34,0.2571,0.0,0.1204,0.3939,True
24,4,0.1402,0.0353,0.0035,0.277,True
24,5,0.2014,0.0,0.0647,0.3381,True
24,6,0.1579,0.0048,0.0211,0.2946,True
24,7,0.3089,-0.0,0.1722,0.4457,True
24,8,0.2535,0.0,0.1167,0.3902,True
25,29,0.2668,0.0,0.13,0.4035,True
25,3,0.2588,0.0,0.122,0.3955,True
25,30,0.289,-0.0,0.1523,0.4258,True
25,31,0.1768,0.0004,0.0401,0.3136,True
25,32,0.2244,0.0,0.0876,0.3611,True
25,33,0.1947,0.0,0.058,0.3315,True
25,34,0.2345,0.0,0.0977,0.3712,True
25,5,0.1787,0.0003,0.042,0.3155,True
25,7,0.2862,-0.0,0.1495,0.423,True
25,8,0.2308,0.0,0.0941,0.3675,True
26,29,0.2366,0.0,0.0999,0.3733,True
26,3,0.2286,0.0,0.0919,0.3654,True
26,30,0.2589,0.0,0.1221,0.3956,True
26,31,0.1467,0.0178,0.0099,0.2834,True
26,32,0.1942,0.0,0.0575,0.331,True
26,33,0.1646,0.0021,0.0278,0.3013,True
26,34,0.2043,0.0,0.0676,0.3411,True
26,5,0.1486,0.0144,0.0118,0.2853,True
26,7,0.2561,0.0,0.1194,0.3928,True
26,8,0.2007,0.0,0.0639,0.3374,True
27,29,0.1983,0.0,0.0616,0.3351,True
27,3,0.1903,0.0001,0.0536,0.3271,True
27,30,0.2206,0.0,0.0839,0.3573,True
27,32,0.156,0.0061,0.0192,0.2927,True
27,34,0.1661,0.0017,0.0293,0.3028,True
27,7,0.2178,0.0,0.0811,0.3546,True
27,8,0.1624,0.0027,0.0256,0.2991,True
28,29,0.1921,0.0,0.0553,0.3288,True
28,3,0.1841,0.0001,0.0474,0.3208,True
28,30,0.2144,0.0,0.0776,0.3511,True
28,32,0.1497,0.0127,0.013,0.2864,True
28,34,0.1598,0.0038,0.0231,0.2965,True
28,7,0.2116,0.0,0.0748,0.3483,True
28,8,0.1561,0.006,0.0194,0.2929,True
29,35,-0.2097,0.0,-0.3464,-0.073,True
29,36,-0.2669,0.0,-0.4036,-0.1302,True
29,37,-0.2112,0.0,-0.3479,-0.0744,True
29,4,-0.1492,0.0134,-0.2859,-0.0125,True
29,9,-0.3012,-0.0,-0.4379,-0.1644,True
3,35,-0.2017,0.0,-0.3385,-0.065,True
3,36,-0.2589,0.0,-0.3957,-0.1222,True
3,37,-0.2032,0.0,-0.3399,-0.0664,True
3,4,-0.1412,0.0319,-0.2779,-0.0045,True
3,9,-0.2932,-0.0,-0.4299,-0.1564,True
30,35,-0.232,0.0,-0.3687,-0.0952,True
30,36,-0.2892,-0.0,-0.4259,-0.1524,True
30,37,-0.2334,0.0,-0.3702,-0.0967,True
30,4,-0.1715,0.0008,-0.3082,-0.0347,True
30,6,-0.1538,0.0078,-0.2906,-0.0171,True
30,9,-0.3234,-0.0,-0.4602,-0.1867,True
31,36,-0.177,0.0004,-0.3137,-0.0403,True
31,9,-0.2112,0.0,-0.348,-0.0745,True
32,35,-0.1673,0.0014,-0.3041,-0.0306,True
32,36,-0.2245,0.0,-0.3613,-0.0878,True
32,37,-0.1688,0.0012,-0.3055,-0.0321,True
32,9,-0.2588,0.0,-0.3955,-0.122,True
33,35,-0.1377,0.0457,-0.2744,-0.0009,True
33,36,-0.1949,0.0,-0.3316,-0.0581,True
33,37,-0.1391,0.0394,-0.2759,-0.0024,True
33,9,-0.2291,0.0,-0.3659,-0.0924,True
34,35,-0.1774,0.0004,-0.3142,-0.0407,True
34,36,-0.2346,0.0,-0.3714,-0.0979,True
34,37,-0.1789,0.0003,-0.3156,-0.0422,True
34,9,-0.2689,0.0,-0.4056,-0.1321,True
35,7,0.2292,0.0,0.0925,0.3659,True
35,8,0.1738,0.0006,0.037,0.3105,True
36,5,0.1789,0.0003,0.0421,0.3156,True
36,7,0.2864,-0.0,0.1497,0.4231,True
36,8,0.231,0.0,0.0942,0.3677,True
37,7,0.2307,0.0,0.0939,0.3674,True
37,8,0.1752,0.0005,0.0385,0.312,True
4,7,0.1687,0.0012,0.0319,0.3054,True
4,9,-0.152,0.0098,-0.2887,-0.0152,True
5,9,-0.2131,0.0,-0.3499,-0.0764,True
6,7,0.1511,0.0108,0.0143,0.2878,True
6,9,-0.1696,0.0011,-0.3063,-0.0328,True
7,9,-0.3207,-0.0,-0.4574,-0.1839,True
8,9,-0.2652,0.0,-0.402,-0.1285,True
