MDS_X,MDS_Y,C1_X,C1_Y
0.631780632,0.389503581,0.65977144,0.393543
0.965414867,0.616694898,0.9720839,0.6336968
0.965414129,0.61669709,0.9720839,0.6336968
0.965414162,0.616696993,0.9720839,0.6336968
0.537593112,0.690363186,0.53858423,0.7027376
0.535162937,0.696525582,0.5434866,0.6645279
0.537593112,0.690363186,0.53858423,0.7027376
0.535162937,0.696525582,0.5434866,0.6645279
0.518289326,0.613306963,0.51430917,0.61314684
0.511639175,0.601619521,0.5150962,0.6041797
0.518289326,0.613306963,0.51430917,0.61314684
0.511639175,0.601619521,0.5150962,0.6041797
0.518289326,0.613306963,0.51430917,0.61314684
0.511639175,0.601619521,0.5150962,0.6041797
0.518289326,0.613306963,0.51430917,0.61314684
0.511639175,0.601619521,0.5150962,0.6041797
0.272141757,0.604445873,0.26435292,0.6070951
0.286305571,0.601169341,0.2844263,0.6038103
0.272141757,0.604445873,0.26435292,0.6070951
0.286305571,0.601169341,0.2844263,0.6038103
0.272141757,0.604445873,0.2706058,0.6116752
0.286305571,0.601169341,0.28917488,0.59309125
0.272141757,0.604445873,0.2706058,0.6116752
0.286305571,0.601169341,0.28917488,0.59309125
0.273672712,0.613244931,0.2706058,0.6116752
0.287978878,0.610824612,0.28917488,0.59309125
0.273672712,0.613244931,0.2706058,0.6116752
0.287978878,0.610824612,0.28917488,0.59309125
0.272141757,0.604445873,0.26435292,0.6070951
0.286305571,0.601169341,0.2844263,0.6038103
0.272141757,0.604445873,0.26435292,0.6070951
0.286305571,0.601169341,0.2844263,0.6038103
0.272141757,0.604445873,0.26435292,0.6070951
0.286305571,0.601169341,0.2844263,0.6038103
0.272141757,0.604445873,0.26435292,0.6070951
0.286305571,0.601169341,0.2844263,0.6038103
0.927777158,0.499773359,0.95011723,0.5032373
0.927777158,0.49977336,0.95011723,0.5032373
0.273672712,0.613244931,0.2706058,0.6116752
0.287978878,0.610824612,0.28917488,0.59309125
0.273672712,0.613244931,0.2706058,0.6116752
0.287978878,0.610824612,0.28917488,0.59309125
0.276540435,0.569246918,0.2716187,0.5726954
0.282220729,0.570696112,0.2785799,0.54671144
0.276540435,0.569246918,0.2716187,0.5726954
0.282220729,0.570696112,0.2785799,0.54671144
0.273672712,0.613244931,0.2706058,0.6116752
0.287978878,0.610824612,0.28917488,0.59309125
0.273672712,0.613244931,0.2706058,0.6116752
0.297952418,0.613988953,0.23890962,0.60008276
0.272141757,0.604445873,0.26435292,0.6070951
0.286305571,0.601169341,0.2844263,0.6038103
0.272141757,0.604445873,0.26435292,0.6070951
0.286305571,0.601169341,0.2844263,0.6038103
