2023-06-29,16:02:36,2,112.0,96.0,104.0,104.0,104.0,111.0,109.0,104.0,111.0,103.0,116.0,110.0,110.0,111.0,124.0,115.0,105.0,119.0,92.0,37.0,102.0,111.0,107.0,103.0,111.0,106.0,109.0,109.0,105.0,107.0,107.0,109.0
2023-06-29,16:02:36,3,55.0,57.0,63.0,64.0,63.0,60.0,70.0,56.0,68.0,70.0,76.0,60.0,71.0,69.0,68.0,71.0,73.0,65.0,63.0,76.0,63.0,79.0,60.0,78.0,68.0,72.0,71.0,65.0,69.0,59.0,59.0,65.0
2023-06-29,16:34:27,1,1.0,20.0,20.0,1.0,34.0,25.0,5.0,23.0,14.0,30.0,2.0,26.0,1.0,22.0,6.0,20.0,25.0,14.0,22.0,19.0,1.0,10.0,19.0,17.0,16.0,21.0,1.0,4.0,24.0,1.0,31.0,28.0
2023-06-29,16:34:27,2,56.0,57.0,59.0,60.0,55.0,59.0,60.0,60.0,58.0,60.0,56.0,63.0,53.0,55.0,58.0,51.0,100.4857177734375,54.0,47.0,50.0,53.0,57.0,53.0,51.0,54.0,50.0,53.0,54.0,48.0,47.0,50.0,55.0
2023-06-29,16:34:27,3,25.0,42.0,44.0,43.0,46.0,43.0,47.0,37.0,48.0,38.0,29.0,35.0,41.0,38.0,42.0,51.0,36.0,48.0,42.0,38.0,30.0,45.0,46.0,48.0,44.0,50.0,45.0,42.0,46.0,43.0,43.0,31.0
2023-06-29,17:25:20,1,40.0,30.0,47.0,42.0,42.0,45.0,40.0,27.0,26.0,39.0,29.0,36.0,34.0,31.0,31.0,34.0,33.0,31.0,34.0,33.0,36.0,36.0,32.0,26.0,42.0,29.0,38.0,32.0,3.0,17.0,35.0,38.0
2023-06-29,17:25:20,2,89.0,106.0,93.0,91.0,87.0,38.0,97.0,92.0,112.0,94.0,86.0,92.0,94.0,92.0,101.0,120.0,106.0,100.0,119.0,114.0,110.0,40.0,109.0,106.0,103.0,85.0,56.0,84.0,0.0,0.0,0.0,86.0
2023-06-29,17:25:20,3,50.0,54.0,51.0,51.0,58.0,43.0,54.0,46.0,55.0,52.0,58.0,57.0,63.0,55.0,54.0,56.0,60.0,60.0,59.0,60.0,59.0,60.0,51.0,62.0,52.0,53.0,56.0,54.0,58.0,51.0,55.0,50.0
2023-06-30,12:40:07,1,32.0,21.0,24.0,23.0,30.0,22.0,26.0,37.0,20.0,22.0,17.0,26.0,22.0,28.0,24.0,1.0,26.0,19.0,22.0,22.0,22.0,20.0,21.0,31.0,28.0,26.0,24.0,32.0,23.0,26.0,38.0,28.0
2023-06-30,12:40:07,2,84.0,107.0,103.0,100.0,103.0,122.0,113.0,127.0,127.0,123.0,102.0,127.0,127.0,110.0,113.0,102.0,117.0,110.0,83.0,107.0,127.0,113.0,111.0,93.0,110.0,116.0,122.0,127.0,127.0,122.0,119.0,99.0
2023-06-30,12:40:07,3,60.0,59.0,57.0,58.0,58.0,63.0,69.0,61.0,65.0,59.0,68.0,55.0,70.0,71.0,69.0,73.0,69.0,69.0,68.0,61.0,62.0,69.0,67.0,62.0,65.0,67.0,61.0,59.0,58.0,61.0,67.0,63.0
2023-06-30,13:08:22,1,45.0,14.0,17.0,24.0,22.0,34.0,18.0,1.0,32.0,30.0,22.0,34.0,34.0,27.0,30.0,31.0,27.0,26.0,33.0,32.0,18.0,27.0,28.0,26.0,35.0,28.0,25.0,26.0,25.0,28.0,28.0,39.0
2023-06-30,13:08:23,2,51.0,52.0,42.0,39.0,94.0,78.0,92.0,71.0,121.0,93.0,82.0,111.0,127.0,127.0,127.0,127.0,115.0,127.0,113.0,121.0,127.0,122.0,127.0,127.0,127.0,121.0,115.0,112.0,127.0,127.0,111.0,127.0
2023-06-30,13:08:23,3,64.0,68.0,51.0,49.0,75.0,89.0,67.0,69.0,71.0,69.0,72.0,70.0,83.0,47.0,71.0,65.0,49.0,82.0,57.0,74.0,61.0,64.0,68.0,74.0,69.0,69.0,64.0,75.0,70.0,69.0,76.0,46.0
2023-06-30,14:29:13,1,29.0,32.0,35.0,29.0,24.0,36.0,35.0,30.0,30.0,26.0,38.0,32.0,8.0,26.0,29.0,27.0,25.0,26.0,30.0,17.0,37.0,20.0,32.0,12.0,10.0,22.0,30.0,25.0,29.0,27.0,33.0,31.0
2023-06-30,14:29:13,2,90.0,84.0,94.0,77.0,98.0,127.0,122.0,110.0,121.0,90.0,108.0,127.0,107.0,127.0,122.0,117.0,110.0,112.0,127.0,105.0,114.0,99.0,119.0,103.0,127.0,124.0,107.0,126.0,110.0,112.0,24.0,127.0
2023-06-30,14:29:13,3,68.0,70.0,69.0,61.0,64.0,64.0,66.0,69.0,67.0,64.0,61.0,66.0,69.0,65.0,69.0,59.0,70.0,60.0,62.0,65.0,58.0,58.0,68.0,62.0,72.0,65.0,64.0,56.0,73.0,17.0,72.0,69.0
